Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2017-06-13,2017,DMR Daily - MI0020257 _05_01_2017_to_05_31_2017_V1.docx,DMR Daily Data for period 05/01/2017 - 05/31/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-3514350148586469102,https://mienviro.michigan.gov/ncore/downloadpdf/-3514350148586469102,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-06-13,2017,DMR Summary - MI0020257 _05_01_2017_to_05_31_2017_V1.docx,DMR Summary Data for period 05/01/2017 - 05/31/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-1817143456933767821,https://mienviro.michigan.gov/ncore/downloadpdf/-1817143456933767821,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-07-18,2017,DMR Daily - MI0020257 _06_01_2017_to_06_30_2017_V1.docx,DMR Daily Data for period 06/01/2017 - 06/30/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,2596891981566435001,https://mienviro.michigan.gov/ncore/downloadpdf/2596891981566435001,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-07-18,2017,DMR Summary - MI0020257 _06_01_2017_to_06_30_2017_V1.docx,DMR Summary Data for period 06/01/2017 - 06/30/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-8542276497179018047,https://mienviro.michigan.gov/ncore/downloadpdf/-8542276497179018047,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-08-17,2017,DMR Daily - MI0020257 _05_01_2017_to_05_31_2017_V2.docx,DMR Daily Data for period 05/01/2017 - 05/31/2017_V2,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-486435104065967818,https://mienviro.michigan.gov/ncore/downloadpdf/-486435104065967818,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-08-17,2017,DMR Daily - MI0020257 _07_01_2017_to_07_31_2017_V1.docx,DMR Daily Data for period 07/01/2017 - 07/31/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-111396327202170199,https://mienviro.michigan.gov/ncore/downloadpdf/-111396327202170199,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-08-17,2017,DMR Summary - MI0020257 _05_01_2017_to_05_31_2017_V2.docx,DMR Summary Data for period 05/01/2017 - 05/31/2017_V2,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,-3743271668249773176,https://mienviro.michigan.gov/ncore/downloadpdf/-3743271668249773176,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-08-17,2017,DMR Summary - MI0020257 _07_01_2017_to_07_31_2017_V1.docx,DMR Summary Data for period 07/01/2017 - 07/31/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,1920013186052737041,https://mienviro.michigan.gov/ncore/downloadpdf/1920013186052737041,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-09-15,2017,DMR Daily - MI0020257 _08_01_2017_to_08_31_2017_V1.docx,DMR Daily Data for period 08/01/2017 - 08/31/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,7005832042046937184,https://mienviro.michigan.gov/ncore/downloadpdf/7005832042046937184,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-09-15,2017,DMR Summary - MI0020257 _08_01_2017_to_08_31_2017_V1.docx,DMR Summary Data for period 08/01/2017 - 08/31/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,8461445828922893016,https://mienviro.michigan.gov/ncore/downloadpdf/8461445828922893016,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,DMR Daily - MI0020257 _09_01_2017_to_09_30_2017_V1.docx,DMR Daily Data for period 09/01/2017 - 09/30/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,865533459970142181,https://mienviro.michigan.gov/ncore/downloadpdf/865533459970142181,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-10-13,2017,DMR Summary - MI0020257 _09_01_2017_to_09_30_2017_V1.docx,DMR Summary Data for period 09/01/2017 - 09/30/2017_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit,1351029181868169986,https://mienviro.michigan.gov/ncore/downloadpdf/1351029181868169986,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
