ListPosition,DocMgmtId,URL,HTTP,Result,SavedFile,OriginalName,DocDate,Bytes,SHA256,Error
47,7119989374435100322,https://mienviro.michigan.gov/ncore/downloadpdf/7119989374435100322,200,VERIFIED_IDENTICAL,0047_2013-08-16_MDEQ Draft NPDES Response from Cadillac.pdf,MDEQ Draft NPDES Response from Cadillac.pdf,2013-08-16,451397,9ae7e9ec146a7f9f79c585691b9b067f34a9eceb845c40f6696b6c51e0b4ceed,
48,1627519268423672263,https://mienviro.michigan.gov/ncore/downloadpdf/1627519268423672263,200,VERIFIED_IDENTICAL,0048_2013-08-16_Public Notice Letter.pdf,Public Notice Letter.doc,2013-08-16,49377,b5d3b14f1181aaa01203e90aeadc419676bbc33cb252fea7a8a52776ab83338a,
49,-6015990787720855289,https://mienviro.michigan.gov/ncore/downloadpdf/-6015990787720855289,200,VERIFIED_IDENTICAL,0049_2013-08-16_Public Notice Notification.pdf,Public Notice Notification.doc,2013-08-16,31009,aa589858856b1c543f0f84a48fa04789ff628f57bb165374d67efe4d28ee5294,
50,6362211730533153224,https://mienviro.michigan.gov/ncore/downloadpdf/6362211730533153224,200,VERIFIED_IDENTICAL,0050_2013-08-20_Cadillac WWTP PN Notification Email.pdf,Cadillac WWTP PN Notification Email.pdf,2013-08-20,24550,7d55a659a8dbf1e79f1785981971aeabcd2a3c02b15df4d77fdb1247cfb7db13,
51,357104448692010328,https://mienviro.michigan.gov/ncore/downloadpdf/357104448692010328,200,VERIFIED_IDENTICAL,0051_2013-09-04_AvailCyanide Recs.pdf,AvailCyanide Recs.pdf,2013-09-04,608053,a81a3da922f6efc523ebc8a372ef5ff71693ba49b0d08feef612c8bab4715b69,
52,3428788513576669470,https://mienviro.michigan.gov/ncore/downloadpdf/3428788513576669470,200,VERIFIED_IDENTICAL,0052_2013-09-13_Pre-Inspection ReportLS.pdf,Pre-Inspection ReportLS.doc,2013-09-13,115896,72e0d17a78aecc8973b70cded4666fbb4c7ba1a4df1d7f56a72f1b9ece7b5b67,
53,8003362588879650113,https://mienviro.michigan.gov/ncore/downloadpdf/8003362588879650113,200,VERIFIED_IDENTICAL,0053_2013-09-25_QA QC Report - Individual Permit.pdf,QA QC Report - Individual Permit.doc,2013-09-25,106218,11a983d1f2ae7e7e8a4ae6955c466189010e2568ec762b14c5d226da57a20d7a,
54,-4137983880946955700,https://mienviro.michigan.gov/ncore/downloadpdf/-4137983880946955700,200,VERIFIED_IDENTICAL,0054_2013-11-13_Cadillac 9-19-13 Letter to Mike Bitondo.pdf,Cadillac 9-19-13 Letter to Mike Bitondo.pdf,2013-11-13,2328516,a3abad8f3e5e3c885b13706aef9dcff1df51130859f8531e9f0b068dbcd4d8ed,
55,330676165036433120,https://mienviro.michigan.gov/ncore/downloadpdf/330676165036433120,200,VERIFIED_IDENTICAL,0055_2013-11-13_Cadillac WWTP Cover Email 9-19-13.pdf,Cadillac WWTP Cover Email 9-19-13.pdf,2013-11-13,87011,dbdee820c38815948b61f0bb7cac413004fd3e697fe5df4773ffe06507d51d7f,
56,-6131834195465596614,https://mienviro.michigan.gov/ncore/downloadpdf/-6131834195465596614,200,VERIFIED_IDENTICAL,0056_2013-11-13_Cadillac WWTP Draft Permit 9-25-13.pdf,Cadillac WWTP Draft Permit 9-25-13.pdf,2013-11-13,147335,6a04b26f793ac6808f102d527f8635293fb5efbb108410adaa936ae8d20a4b2f,
