ViolRefViolCatgDescr,ViolRefViolTypeDescr,ViolRefViolStatDescr,ViolNonCmplStartDate,ViolViolNotifCmnts,ViolDescr,EvalEvalNum,EvalRefEvalTypeDescr
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/27/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/26/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/25/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/22/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/21/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/20/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/19/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/18/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/15/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/14/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/13/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/12/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/11/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/8/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/7/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/6/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/5/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/4/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/1/2011 12:00:00 AM",,WRD - NPDES,E-F2E1-A8-C4BF,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/30/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/29/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/28/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/27/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/24/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/23/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/22/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/21/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/20/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/17/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/16/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/15/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/14/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/13/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/10/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/9/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/8/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/7/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
