Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2013-08-16,2013,Cadillac WWTP PPN Email Exchange 2.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-8309188111481449431,https://mienviro.michigan.gov/ncore/downloadpdf/-8309188111481449431,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Cadillac WWTP PPN Email Exchange.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2888412398541189349,https://mienviro.michigan.gov/ncore/downloadpdf/-2888412398541189349,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Cadillac WWTP Public Notice Draft Permit.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-3380254261609336174,https://mienviro.michigan.gov/ncore/downloadpdf/-3380254261609336174,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Cadillac WWTP Public Notice Email.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,7362722464259672092,https://mienviro.michigan.gov/ncore/downloadpdf/7362722464259672092,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Cadillac WWTP Response to Comments Email.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4130029830579911351,https://mienviro.michigan.gov/ncore/downloadpdf/-4130029830579911351,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Cadillac WWTP Response to Comments.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,3731373716033583448,https://mienviro.michigan.gov/ncore/downloadpdf/3731373716033583448,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,MDEQ Draft NPDES Response from Cadillac.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,7119989374435100322,https://mienviro.michigan.gov/ncore/downloadpdf/7119989374435100322,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Public Notice Letter.doc,Public Notice Letter,Compliance / Enforcement,High,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,1627519268423672263,https://mienviro.michigan.gov/ncore/downloadpdf/1627519268423672263,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Public Notice Notification.doc,Public Notice Notification,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-6015990787720855289,https://mienviro.michigan.gov/ncore/downloadpdf/-6015990787720855289,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-20,2013,Cadillac WWTP PN Notification Email.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6362211730533153224,https://mienviro.michigan.gov/ncore/downloadpdf/6362211730533153224,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-09-04,2013,AvailCyanide Recs.pdf,Revised Recommendation for Available Cyanide,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,357104448692010328,https://mienviro.michigan.gov/ncore/downloadpdf/357104448692010328,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-09-13,2013,Pre-Inspection ReportLS.doc,Pre-Inspection ReportLS,Compliance / Enforcement,Critical,Conversion - Eval; Evaluation E-CF37-78-F1CD,Conversion - Eval,WRD - NPDES,Evaluation,E-CF37-78-F1CD,NPDES Compliance Evaluation Inspection (CEI) (09/30/2013),3428788513576669470,https://mienviro.michigan.gov/ncore/downloadpdf/3428788513576669470,2013 CEI pre-inspection record indexed
2013-09-25,2013,QA QC Report - Individual Permit.doc,QA QC Report - Individual Permit,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,8003362588879650113,https://mienviro.michigan.gov/ncore/downloadpdf/8003362588879650113,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-11-13,2013,Cadillac 9-19-13 Letter to Mike Bitondo.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4137983880946955700,https://mienviro.michigan.gov/ncore/downloadpdf/-4137983880946955700,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-11-13,2013,Cadillac WWTP Cover Email 9-19-13.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,330676165036433120,https://mienviro.michigan.gov/ncore/downloadpdf/330676165036433120,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-11-13,2013,Cadillac WWTP Draft Permit 9-25-13.pdf,With revised Asset Management Lang,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-6131834195465596614,https://mienviro.michigan.gov/ncore/downloadpdf/-6131834195465596614,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-11-13,2013,Cadillac WWTP Email Exchange 9-3-13.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-8365213610442199787,https://mienviro.michigan.gov/ncore/downloadpdf/-8365213610442199787,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-11-13,2013,Cadillac WWTP Email Response 9-25-13.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,423116088479995591,https://mienviro.michigan.gov/ncore/downloadpdf/423116088479995591,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
